Bova1_5.0816.g3.t1,ML01192a
Bova1_5.0047.g41.t1,ML12954a
Bova1_5.0171.g6.t1,ML05198a
Bova1_5.0001.g58.t1,ML14273a
Bova1_5.0518.g3.t2,ML16084a
Bova1_5.0242.g6.t1,ML106626a
Bova1_5.0774.g1,ML14111a
Bova1_5.0005.g25.t1,ML003249a
Bova1_5.0034.g13.t1,ML282529a
Bova1_5.0086.g24.t1,ML02642a
Bova1_5.0181.g4.t1,ML00978a
Bova1_5.0060.g60,ML047923a
Bova1_5.0018.g3.t1,ML17402a
Bova1_5.0295.g7.t1,ML00914a
Bova1_5.0024.g64.t1,ML13253a
Bova1_5.0275.g17.t1,ML28356a
Bova1_5.0101.g33,ML015739a
Bova1_5.0125.g12.t1,ML144210a
Bova1_5.0043.g43,ML185525a
Bova1_5.0054.g41.t1,ML066514a
Bova1_5.0003.g91.t2,ML033613a
Bova1_5.0079.g20,ML078012a
Bova1_5.0118.g44.t1,ML205626a
Bova1_5.0284.g1.t2,ML33983a
Bova1_5.0064.g46.t1,ML141115a
Bova1_5.0365.g6.t1,ML165812a
Bova1_5.0173.g15,ML001115a
Bova1_5.0059.g37.t1,ML13719a
Bova1_5.0251.g19.t2,ML276926a
Bova1_5.0009.g3,ML11322a
Bova1_5.0363.g8,ML09102a
Bova1_5.0046.g72.t1,ML051214a
Bova1_5.0125.g29.t2,ML10292a
Bova1_5.0154.g9.t1,ML005355a
Bova1_5.0225.g2.t1,ML204416a
Bova1_5.0259.g2,ML223514a
Bova1_5.0029.g12.t2,ML001919a
Bova1_5.0166.g3.t1,ML143020a
Bova1_5.0266.g2.t1,ML13165a
Bova1_5.0084.g3.t1,ML05671a
Bova1_5.0115.g25.t1,ML11615a
Bova1_5.0168.g5.t1,ML08204a
Bova1_5.0212.g2.t1,ML073266a
Bova1_5.0038.g26.t1,ML07573a
Bova1_5.0029.g78.t2,ML11592a
Bova1_5.0013.g91.t1,ML45846a
Bova1_5.0233.g5,ML279820a
Bova1_5.0319.g6.t1,ML044112a
Bova1_5.0247.g9,ML15094a
Bova1_5.0029.g11.t1,ML001922a
Bova1_5.0050.g17.t1,ML47557a
Bova1_5.0017.g101,ML001127a
Bova1_5.0181.g16.t1,ML19405a
Bova1_5.0004.g64,ML08632a
Bova1_5.0151.g43.t1,ML00983a
Bova1_5.0420.g8,ML161335a
Bova1_5.0265.g14.t1,ML054411a
Bova1_5.0104.g33,ML49658a
Bova1_5.0203.g1.t1,ML11353a
Bova1_5.0142.g3.t1,ML05972a
Bova1_5.0238.g10.t1,ML06398a
Bova1_5.0313.g5,ML17564a
Bova1_5.0017.g20.t1,ML00065a
Bova1_5.0194.g17.t1,ML271520a
Bova1_5.0222.g1,ML030514a
Bova1_5.0364.g8,ML003613a
Bova1_5.0201.g3,ML10549a
Bova1_5.0030.g34.t1,ML14221a
Bova1_5.0049.g15.t1,ML032212a
Bova1_5.0105.g36.t1,ML33725a
Bova1_5.0017.g30.t1,ML022416a
Bova1_5.0168.g27,ML033234a
Bova1_5.0020.g70.t1,ML009014a
Bova1_5.0117.g24.t1,ML038824a
Bova1_5.0148.g13,ML10213a
Bova1_5.0017.g42.t1,ML13371a
Bova1_5.0145.g39.t1,ML496510a
Bova1_5.0044.g17.t1,ML05371a
Bova1_5.0091.g44.t1,ML43439a
Bova1_5.0107.g45.t1,ML08263a
Bova1_5.0101.g20.t1,ML005115a
Bova1_5.0344.g6,ML03058a
Bova1_5.0055.g42.t1,ML29317a
Bova1_5.0087.g33.t1,ML16037a
Bova1_5.0091.g39,ML434313a
Bova1_5.0068.g8.t1,ML11223a
Bova1_5.0026.g8,ML02271a
Bova1_5.0148.g14.t3,ML154130a
Bova1_5.0038.g69.t1,ML25828a
Bova1_5.0270.g13.t1,ML30081a
Bova1_5.0054.g52.t1,ML21406a
Bova1_5.0065.g55.t1,ML03231a
Bova1_5.0138.g14,ML32581a
Bova1_5.0122.g14.t1,ML32216a
Bova1_5.0156.g30.t1,ML131710a
Bova1_5.0005.g66.t1,ML08981a
Bova1_5.0819.g1.t1,ML008910a
Bova1_5.0097.g38.t2,ML020041a
Bova1_5.0011.g10,ML460827a
Bova1_5.0012.g80.t1,ML073256a
Bova1_5.0149.g23.t1,ML00877a
Bova1_5.0115.g19.t1,ML00509a
Bova1_5.0375.g3.t1,ML460818a
Bova1_5.0410.g2.t1,ML141720a
Bova1_5.0102.g25.t1,ML00801a
Bova1_5.0191.g3,ML02457a
Bova1_5.0044.g14.t1,ML084427a
Bova1_5.0172.g13.t1,ML01988a
Bova1_5.0172.g31.t3,ML20398a
Bova1_5.0187.g25.t1,ML239518a
Bova1_5.0349.g8.t1,ML18601a
Bova1_5.0003.g193.t1,ML019213a
Bova1_5.0304.g17.t1,ML02736a
Bova1_5.0037.g8.t2,ML05004a
Bova1_5.0008.g103.t1,ML006311a
Bova1_5.0145.g7.t1,ML37597a
Bova1_5.0031.g17,ML148913a
Bova1_5.0116.g11.t1,ML067018a
Bova1_5.0250.g10.t1,ML073214a
Bova1_5.0224.g21,ML079730a
Bova1_5.0261.g13,ML01824a
Bova1_5.0002.g39.t1,ML27446a
Bova1_5.0087.g26.t2,ML00641a
Bova1_5.0305.g17.t1,ML009141a
Bova1_5.0062.g48.t3,ML04768a
Bova1_5.0117.g28,ML09556a
Bova1_5.0477.g2.t1,ML34751a
Bova1_5.0009.g57,ML09492a
Bova1_5.0002.g72.t1,ML079732a
Bova1_5.0101.g28.t1,ML44904a
Bova1_5.0008.g66.t2,ML019235a
Bova1_5.0054.g83.t1,ML113413a
Bova1_5.0025.g5,ML004438a
Bova1_5.2295.g1.t1,ML13171a
Bova1_5.0048.g36,ML07512a
Bova1_5.0305.g5.t1,ML015625a
Bova1_5.0023.g55.t1,ML08378a
Bova1_5.0090.g15.t3,ML030238a
Bova1_5.0001.g44,ML07493a
